Session_Duration,Page_Views,Purchase_Amount,Bounce_Rate
16.43,19.0,280.38,35.13
39.21,,170.69,25.55
5.11,2.0,304.08,77.02
17.4,8.0,295.39,51.87
2.29,15.0,244.86,59.65
17.93,1.0,36.13,76.3
6.94,8.0,360.6,52.98
4.14,,97.26,56.63
41.36,11.0,460.97,60.26
50.0,8.0,438.81,17.29
28.38,,195.42,31.7
31.28,3.0,132.23,76.13
24.49,,121.73,25.4
5.49,11.0,306.3,14.73
23.84,16.0,70.49,52.72
55.72,7.0,85.42,55.4
8.36,14.0,373.41,73.72
42.4,9.0,137.73,23.04
17.87,9.0,4.18,5.15
17.74,6.0,100.38,93.07
39.08,10.0,156.19,18.4
11.68,18.0,180.47,67.86
46.49,11.0,479.67,83.79
45.96,16.0,16.25,82.46
36.39,,464.98,85.5
16.14,5.0,305.63,92.26
58.81,9.0,255.63,79.83
8.27,,186.76,13.06
44.08,6.0,277.7,96.87
29.85,9.0,152.35,30.01
11.33,9.0,367.78,10.48
23.44,18.0,55.37,25.59
4.45,14.0,125.71,58.86
23.73,,79.65,43.39
12.34,14.0,368.91,25.97
31.01,4.0,484.08,8.25
37.18,13.0,233.28,42.34
8.39,8.0,454.77,91.81
17.98,11.0,16.16,38.97
21.0,19.0,321.3,20.88
39.55,19.0,215.94,20.89
49.87,1.0,382.47,88.65
28.2,,394.76,6.58
28.97,19.0,250.38,85.53
57.37,4.0,406.04,46.3
30.34,13.0,369.58,48.14
35.2,19.0,320.1,66.53
50.49,2.0,259.59,37.19
25.35,4.0,348.89,26.81
16.09,,249.6,97.12
39.85,13.0,241.14,88.04
21.04,15.0,485.64,13.06
14.14,5.0,41.33,63.06
40.58,13.0,174.34,39.26
31.48,17.0,253.01,65.54
11.78,10.0,486.56,77.37
38.51,6.0,211.45,65.76
33.57,7.0,263.75,19.43
12.29,,479.58,92.92
18.12,4.0,38.82,60.74
32.99,,147.18,39.57
7.98,10.0,161.16,72.53
14.42,,201.14,86.19
46.48,14.0,486.64,93.21
19.57,9.0,22.41,21.88
32.0,5.0,223.05,59.06
46.24,,454.63,20.94
10.89,11.0,166.89,87.74
35.54,3.0,165.7,42.18
11.06,16.0,124.84,39.68
23.19,15.0,498.0,14.59
30.27,6.0,215.36,78.86
39.45,9.0,258.45,83.44
54.92,,412.08,68.93
12.11,8.0,484.77,87.16
21.94,13.0,497.37,28.41
53.9,1.0,232.66,42.33
39.34,7.0,321.93,70.07
35.78,9.0,70.44,17.15
19.12,4.0,108.46,98.67
60.0,8.0,233.37,84.08
25.73,3.0,88.22,2.16
24.16,8.0,327.48,88.21
15.9,,220.82,4.84
47.41,19.0,276.68,47.79
47.37,17.0,112.24,25.23
16.79,2.0,242.46,65.27
34.88,11.0,22.64,26.03
56.51,3.0,142.64,22.88
14.64,1.0,69.7,88.05
6.87,,276.04,13.03
22.78,16.0,233.67,15.09
1.88,7.0,346.25,49.43
16.63,,476.98,61.64
30.13,10.0,375.78,85.07
9.82,18.0,492.11,40.01
51.36,10.0,391.89,24.31
52.76,,220.79,61.4
52.03,1.0,126.12,41.66
45.98,3.0,41.63,96.27
16.03,13.0,444.88,73.93
41.84,13.0,276.42,33.63
6.16,15.0,390.42,21.6
39.33,4.0,251.15,40.71
22.9,5.0,51.79,33.91
41.23,13.0,184.03,15.66
9.64,9.0,15.46,6.79
52.98,12.0,413.55,33.98
43.8,13.0,364.17,8.89
56.35,11.0,493.88,24.22
47.73,3.0,20.16,76.73
33.98,14.0,394.24,8.7
38.24,8.0,301.81,23.06
20.79,1.0,150.25,6.21
58.86,,106.73,80.6
18.55,5.0,171.58,63.1
50.62,19.0,402.37,98.41
45.52,18.0,461.79,59.87
6.08,3.0,189.77,32.75
55.12,2.0,280.44,8.8
30.17,18.0,389.78,89.84
39.85,9.0,297.02,47.58
1.97,2.0,384.12,16.92
33.09,17.0,362.0,21.09
7.57,11.0,129.4,90.64
59.58,10.0,117.76,52.72
25.26,12.0,83.73,56.72
32.69,9.0,269.76,75.77
37.79,8.0,177.34,25.55
41.48,5.0,237.46,30.75
26.51,19.0,498.79,26.19
6.88,7.0,441.51,29.01
51.22,16.0,62.74,66.32
18.65,18.0,238.17,59.91
46.07,,223.32,80.48
12.52,19.0,270.66,57.76
58.32,12.0,242.93,1.1
17.59,13.0,278.3,76.78
27.78,10.0,76.64,41.71
12.07,2.0,319.23,93.04
28.29,6.0,282.24,89.16
49.07,16.0,192.0,72.92
43.18,12.0,237.86,15.91
27.85,19.0,127.21,5.94
6.32,6.0,255.32,25.2
2.98,,32.17,23.37
17.3,15.0,145.99,21.85
43.61,,480.7,60.97
29.93,10.0,115.35,32.65
